idx,true_label,pred_label,confidence,word_count,text
1531,negative,positive,0.8362,53,seen movie several time sure one cheapest action flick eighty think many viewer would definitely change channel come across one great trash dragon hunt made main character mcnamara twin sporting great moustache look ridiculous camouflage dress one best scene one get shot leg still kicking enemy nirv
1543,positive,negative,0.3525,82,people know paul verhoeven director many good bad sci movie hollywood long churning generic thriller native land story basic femme fatale premise nothing new enthralling verhoeven think make better adding series dream sequence instead defining main character situation used way drive forward predicta
1547,negative,positive,0.5582,82,many disaster movie get tired come see discovery channel day long agree comment first part movie soap opera great predictor's grandson make prediction everybody start moaning ruining family name evil mother law convinces wife throw arm mistress want meet believe wife want approve new wife time mistr
1558,negative,positive,0.9247,104,synopsis correction ending not show ben cruising online guy looking arabic language course presido military acadamy san francisco perhaps join war iraq translator fyi many dishonorable discharge d'ont ask d'ont tell translator major short supply ben also spoke russian movie good time capsule life ma
1570,positive,negative,0.419,71,mel torme victor borge younger year serve make film interesting especially viewing young sinatra sunny side definitely conveying yes popular singer hardly actor yet stage michele morgan annoying inane presence jack haley actor whose appeal always totally lost leon erroll silly always overall pretty 
1590,positive,negative,0.4749,60,love film maybe generation really connect talking mean kept laughing duration duration film next day beyond think film not one watch mainly care plot character development film pretty much generation understand lot thing know brought generation say think sacha barren cohen mean good genius reason id
1592,negative,positive,0.788,146,love show watched every episode last year bought dvd tune watch tonight see reason retooled great show taken made work ruined took one best aspect show away friend sam sully lizzy piper love character well good small doze like derek darcy even sully like show lost family everyone else trying hard fi
1594,negative,positive,0.6858,75,three stooge feature length western comedy musical perhaps rockin' rockies meant combine stooge comedy short western musical matin pleasant way break saturday afternoon jay kirby rusty handsome young hero mary beth hughes blonde june gladys blake brunette betty pretty woman hoosier hotshot harmoniou
1624,negative,positive,0.605,262,like depressing film sleazy character sordid storyline one bleak new york city atmosphere come across extremely grim almost hopeless place two diverse lead character devoid much sense morality movie real downer academy award shocking time hollywood brand new freedom show anything wanted moral code a
1628,negative,positive,0.5819,244,though title includes word zombie film not expect movie made today though concept played well would probably expected dean jagger portrays armand louque officer french army world war stumbled upon ancient tale soldier turned automaton zombie impervious battle may hold key victory war though whose si
1656,positive,negative,0.4357,229,bbc production jane eyre starring zelah clarke timothy dalton love always always favorite jane eyre watch version jane eyre without reading book like watching regular movie forget next day watching one almost equal reading book used watch miniseries lot little inspired read book time pay attention c
1670,negative,positive,0.7841,83,maybe year old like little old movie pampered rat life palace sewer rat flush toilet end rat city meet girl rat gem greedy frog want anything gem sends whole army two rat plan take gem flood rat city cool part movie slug sound effect sing make noise awesome also pretty funny bottom line aimed year o
1684,negative,positive,0.947,113,dvd version consists episode parricide caesar juncture addition language spanish without subtitle hence hard review depth movie understand said cleopatra historic icon part difficult found newcomer leonor varela play fine strong willed also supportive tender soul mate thimothy dalton caesar perfect 
1694,positive,negative,0.3945,34,knowledge typical british comedy period someone not familiar process becoming london cabby film bound seem average laugh old face knowledge however come knowledge boy like wife's know poor individual going find comparing incident character
1702,positive,negative,0.4258,109,must admit reason bought movie big fan gackt huge fan hyde expecting good movie lot shot shall say pleasing feminine eye slightly cheesy story mean synopsis sounded really finished watching feel need tell world brilliance hyde gackt gave heart wrenching performance eye still hot cry lasted throughou
1705,positive,negative,0.4681,254,lloyd hamilton one imaginative among funniest silent film comedian utterly forgotten unfortunately original negative large percentage film lost fox warehouse burnt early hamilton not handsome graceful like chaplin keaton lloyd nor dapper like raymond griffith unlike harry langdon chaplin hamilton no
1708,positive,negative,0.117,46,strange disturbing intriguing film think ever needed see human butt doubt ever want see said much amused like divine's take jayne mansfield's classic walk girl can't help putting slab meat leg grocery store gritty feel much like rus meyer film generally poor acting notable exception divine
1718,negative,positive,0.6045,33,humor who's daddy poor taste actually closed eye certain scene close ups semen not funny nobody think people get nervous see something gross hide nervousness laugh watching who's daddy gave disgusting nervous feeling
1720,positive,negative,0.2634,53,really liked version 'vanishing point' opposed version found version quite boring get middle movie time version not great course could due fact nine time version brought however seen many remake liked original older one better found plot version understandable basically kept true original without un
1726,positive,negative,0.4221,134,yes ultra low budget movie acting award winning material time action slow paced filmmaker shooting longer sequence not million instant get edited movie film make outstanding script take vampirism seriously explains develops full plot aside vampire story get detailed genetics info legal law enforceme
1739,positive,negative,0.0295,97,surprisingly not terrible well animated one disney's straight video throw away sequel like previous sequel lion king glad disney brought back original voice actor make big difference kept good level traditional animation plot wanders around distracted unending string joke ranging hilarious dull brea
1741,positive,negative,0.3446,106,bought feast saint not truly horrible movie lot thing could better lot historical value played talented actress actor not everyday occurrence actor play role somewhat believable part little mediocre confusing say entire movie horrible think capturing new orleans making something pretty hard much har
1742,positive,negative,0.254,61,true not follow book closely still entertaining take story swayze far better role expected doody avoided silly woman depth wilderness portrayal probably expected kate capshaw indiana jones temple doom rate amazingly better richard chamberlain's awful pair quatermain flick reminiscent western many wa
1746,negative,positive,0.7302,114,daddy's girl florence lawrence dorothy west receive terrific news local post office unaware stalked burglar charles inslee meanwhile father david mile receives message young robert harron necessitates daddy leaving home young woman return home alone vulnerable pair bed evening local grand ball black
1750,positive,negative,0.2974,81,thought qualify position reading review movie not great lot great element lighting scene along camera work great story slow weak entertaining acting bad worse find syfy channel music pretty good gore good great leather face film produced bruce campbell watched complete movie mostly predictable still
1756,negative,positive,0.6759,122,remember much movie except distinctly gratuitous destruction luminaires lamp almost every fight scene included unnecessary wanton destruction useful light fixture even outfitted cheesy style cylindrical shade keep time setting story one occasion raucous lamp destruction take place domestic fight sce
1757,negative,positive,0.6274,98,movie horrible wonderful time first saw year old great deal nostalgic value movie cesar romero actually play character octavio man discovered santana also two actor monte markham play sam trying save daughter peter mark richman play priest large filmographies performance okay rest acting movie film 
1759,positive,negative,0.2092,182,problem many people watching movie mindset watch people come looking grade horror film bad good movie jack frost neither put simply good movie cleverly hidden inside bad one view anything screwball comedy easily funnier three absolutely meritless scary movie combined misinterpret movie basic level w
1766,positive,negative,0.3427,192,dark night pose tough challenge hard write detail without ruining yet seen since remains quite obscure includes everybody movie strike familiar director joseph lewis' better known title noir cycle gun crazy big combo even name julia ross brevity resembles odd choice starter bucolic french countrysid
1771,positive,negative,0.2106,45,idea everyone hate movie call garbage travesty unexceptable sequel unfair mean else could made sequel cause seriously think sequel rodney dangerfield say hey everyone going get laid little dancing goffer thats thats end caddyshack even though film rating first one second one still lot fun
1787,negative,positive,0.5019,148,anthony perkins sophia loren absolutely gorgeous western alone however help ridiculous story countless historically incorrect element byrl ives convincing something tyrannical patriarch egomaniac swears see birthday wild dancing party give neighbor make anyone take notice guy sevety six always mumbl
1794,negative,positive,0.5706,73,know hollywood enjoys changing historical event around enjoyment minute one hollywoodized movie example bank robber never back bank started shooting lapd yet movie see back inside twice another example number lapd officer shot near end movie far truth course hollywood must good bloody ending add blo
1795,positive,negative,0.1211,155,thought original film quaint charming well sitting edge seat trying figure since already seen original saw sci channel know remake deliberately made sci knew within first minute since like richard burgi character actor wanted see would pull writer producer etc modernized film bit trying explain plig
1810,positive,negative,0.1705,275,okay sure movie bit hokey side difficult take character comic book put movie credibility dolph lundgren punisher anyone try hard never read actual comic book really matter suppose judge film mainly merit not whether faithful retelling someone else's idea unless film based true story demand least att
1848,positive,negative,0.2368,136,saw film sep cambridge film festival beagle's couple short flashback whole thing darwin's life ensconced kent growing family page origin already drafted wondering whether complete book script based randal keynes's book annie's box annie charles's daughter died mostly family drama include sex scene h
1861,negative,positive,0.5146,131,one thing could redeemed sketch healthy gunfight happy couple exotic model delicatessen old timer motel would turned secretly watching wood aging rent boy guy shared rubber house process could blown freezing shack smithereens resolved snag whore bitch ode windscreen reason protagonist friend well ex
1862,positive,negative,0.2867,156,lonely depressed french boy mathieu jeremie elkaim vacation summer meet fall love cedric gorgeous stephane rideau quiet slow frustrating movie one hand absorbed really felt two boy getting annoyed film constantly keep flashing around past present rhyme reason confusing pointless spoiler ahead also t
1892,negative,positive,0.685,40,funny not funny unlike lot people not bashing film incredibly sexist quote enjoyed bit rather enjoyed reaction generates annoying people bashing poorly written acted really memorable character blakey british people year old recognise immediately since favourite impressionist long time avoid
1908,positive,negative,0.302,153,movie like make wish never picked nerd growing school liked movie would suggest watch valentine found today guy played marty simon killed little movie released shame since good job wonder part played movie start carol trick going girl restroom act like changing shower carol popular friend snuck bath
1918,positive,negative,0.2167,98,china o'brien attempt make cynthia rothrock star united state golden harvet production helmed veteran director robert clouse sadly either lucky enter dragon lost touch not great director reason watch movie see fighting skill rothrock richard norton movie directed corey yuen hoi meng could action cla
1927,positive,negative,0.2703,178,film made production code enforced jean harlow eadie patsy kelly wisecracking man chasing sidekick kitty girl missouri start girl getting train eadie making promise earn money looking millionaire husband staying whole process take long meet frank cousin lewis stone kindly doctor grand hotel well jud
1929,negative,positive,0.9071,62,defiantly dvd rental movie big fan cast member storyline never really grabbed expect brother art thou way shape form funniest part opinion war hero explains happens argon seems like trying copy clooney's funny facial expression brother art thou could kind tell trying john krasinski bright spot solid
1935,negative,positive,0.7502,230,okay know boring cop homicide show came believe traced back movie scene crime feel like episode episode serial complete stock character situation hotshot cop clash superior aging cop want desk job despite failing eyesight reckless rookie double crossing dame etc like many actor good job overall foun
1949,negative,positive,0.6625,45,bette davis brings full trunk tic miserable flop another variation hilariously mismatched lover theme sadly cagney davis truly mismatched acting style mix not simply unpalatable distasteful distinction film come eugene pallette literally phone usual part deb's misunderstood dad jack carson's perform
1951,negative,positive,0.7576,69,story navy seal combat medical officer assigned state art russian sub nurse answer call help set dying member original crew sub overtaken terrorist bent destruction see duo try gain control back happens fear naval force unleashing everything got terrorist sub prevent launching arsenal careful early 
1966,negative,positive,0.6793,66,fine cast cannot uplift routine tale secretary murdered married paramour fact question answer one sided tale romance murder since provided prosecution's side none question answered type fare appeal woman man hater club america presented tale innocent woman happens caught romance married high profile
1975,negative,positive,0.9775,177,love musical joyous oklahoma poignant porgy bess touching romantic damn yankee know song sometimes singing spontaneously crowd humming alone real musical differentiated vaudeville show every song painstakingly crafted fit exact moment expression sadness regret love joy exaltation natural extension m
1978,positive,negative,0.0586,33,overall agree wholly ebert's review sense feel not even commenting since much vet's movie not vet resister flaw martha badly underdeveloped not act consistently guess stephen metcalfe vet spent little planning time character
1996,negative,positive,0.8784,81,get wrong love david suchet poirot love series well movie enough already death nile everyone done one know dy know die know killer know done say enough already suchet could used awesome talent another one agatha christie's novel say acting actor superb set terrific realistic especially liked david s
1999,negative,positive,0.6055,63,cast die movie considerably less vanessa redgrave dying go begin tell daughter story life secret love one movie look expectation great film simply many great actor actress seems something potboiler really not bad redgrave toni collette glenn close meryl streep clare dane natasha richardson eileen at
2001,positive,negative,0.3992,309,first televised episode columbo series although filmed death lends hand heralded one successful series history jack cassidy played murderer series three time enthuses smugness arrogance self assuredness equal measure ken franklin one half mystery writing team hatch elaborate plot kill partner jim fe
2014,positive,negative,0.4596,79,understand leland's character likely inborn see side life face reality hard lead bad act like leland's character sad real reason intention good sense intention save another physical mental case pain long time really sad mostly everyone movie make mistake one character make one good intention killed 
2017,negative,positive,0.6133,22,pretty funny saturday great work laughed every minute movie like scary movie great student body styled gag bad video still watch flix
2022,positive,negative,0.2812,55,absolutely doubt version tarzan closest burroughs' vision gladly collected royalty film produced lifetime frequently made clear little bastard child tale film studios' ludicrous obsession casting olympic swimmer tarzan beyond laughable guess consider lucky not set sight shot putter prior film faithf
2024,negative,positive,0.615,62,even cast boast generally reliable name val kilmer lisa kudrow wonderland fails yield sense depth film barely brush surface incident happened july night kilmer go motion john holmes kudrow kate bosworth hopefully miscast two lead role holmes's wife underage girlfriend respectively rest cast small ro
2026,negative,positive,0.9269,164,director kinji fukasaku perhaps best known homeland least japanese gangster film series movie share number characteristic violence political intrigue theme throughout shogun's samurai battle without honor humanity feature lead character find loyalty challenged betrayal film also feature large number
2039,negative,positive,0.8882,61,since norway one top ten richest country world much fun watch use truck y live cottage medieval time since strict law come handgun fun see much gun actually norway five minute shooting direct video even managed bring silencer short notice must powerful friend custom please least research going exoti
2124,negative,positive,0.9422,108,mark pirro's deathrow gameshow black comedy extremely cheesy many part occasionally funny nevertheless movie could certainly lot better acting terrible extremely cheesy scene make hard watch time concept funny hilarious moment near future year game show changed chuck todean john cafferty host game s
2129,positive,negative,0.1589,52,liv ullman's character say feel like someone else's dream going ashamed wake referring not unwilling player society's war game referring ignorant participant life film's end say dream child trying take care forgot something else implication forgotten learned war survived like mother unable pas vital
2138,positive,negative,0.4715,135,reason saw movie jimmy fallon crush since grade first year snl die hard yankee fan find movie painful last minute begin showing clip alcs game cover ear make small noise hear must not heard otherwise completely bearable thought jimmy played role well character supposed nervous quirky nervous quirky 
2145,negative,positive,0.6123,117,there's old security guard guy dy there's kevin world's biggest wuss kevin want impress incredibly insensitive bratty virginal girlfriend amy return work random house find friend sexually confusing red shorted kyle truly revolting sluttish daphne soon joined daphne's boyfriend trigger happy sex craz
2159,negative,positive,0.6934,152,watched dir cardone sexual political thriller really succeed area well except early interesting soft core scene movie start portraying couple exploring sexual fantasy amidst work environment wherever whatever suit fancy couple take excursion retreat bathhouse run woman that's willing part three fulf
2175,negative,positive,0.6292,100,ability enjoy ash time may depend expectation stepping theater even strident supporter seem agree audience split right middle appreciation unique film unlike actioners battle scene curiously kept distance happen rendered jerky style difficult make exactly what's occurring screen dramatic scene extra
2192,positive,negative,0.4358,91,beginning looked like shrek loner persistently followed comic relief evolves something really compelling gauntlet set result enjoyable movie moment agree little dramatic kid watch manny's past example premise obviously worked long time suceed making movie set almost different set ice cap rock three 
2199,negative,positive,0.5395,59,plenty time kill dvd given friend free still may require lot courage watch film not good script humor matter acting front imran frozen time acting tushar kapoor slightly better imran movie paresh rawal good comedy usual story revolves around college campus imran bad boy tushar good one pretend oppos
2207,negative,positive,0.8969,51,saw move several year ago central florida film festival recall liked showed great potential guess people blasting film film seem hobbled together filmmaker's admission official site short exhibited rough cut nonetheless easy going comedy think many people try read far much comedy supposed make laugh
2212,positive,negative,0.1236,79,bought cheap rental remnant local store almost mint condition never heard clearly nobody else either can't believe luck whole realm emotion attempt get complex message moral non triumphalist stance mandela party undoubtedly despite enormous length watch two sitting like book one put perhaps song not
2223,positive,negative,0.1362,123,remember friend college always insisted rent weirdest movie possible movie would made chance wish could tell exactly sea dust pretend story doctor get sucked weird going black forest go help end caught two young woman seems thing that's scratching surface kind movie thing randomly happen not nice th
2225,positive,negative,0.3886,32,watching john preform one kind show share really something watch grown man portray child like fact every character became could picture looked like entertaining understand individual freak real stand john real talent
2231,positive,negative,0.3821,61,daughter born needed lose weight tried minute workout hooked lost lb weight ever lost life can't believe show forgotten would blessing started cable channel strictly exercise included minute workout think best workout video ever made wish could purchase somehow somewhere routine easy learn work quit
2264,negative,positive,0.8331,83,reading comment imdb time average movie plain get nerve mean pull one signed account post movie bit theme come away movie incest not deserve ridiculed realize many 'hoity toity' film people love movie nevertheless crap thing really get fact director expects sympathy 'villain' movie sexual relation s
2283,positive,negative,0.4666,61,watched subtitled russian really enjoyed main character sasha born cursed deadly weapon extension body lived whole life unhappy different anger caused deadly thing sasha finally found love young woman named katya everyone tried take away ending deadly battle fair amount gore not much weak stomached 
2286,negative,positive,0.6749,81,wells' war world director david michael latt slightly less average flick bad one considers budget work million budget production value bad best part visual effect thoroughly impressed cgi considering budget sound design less stellar part film story prolonged best think budget prolong certain scene c
2291,positive,negative,0.084,24,unbelievable fourth better second third third awful incredible could unexpected sequel new idea chuck nasty doll previous movie interesting final let know fifth done
2300,positive,negative,0.4486,95,skippy family tie go clean cut metal kid fairly cheesy movie film seems like made response upset parent claimed metal music turning kid evil making kill except one dead satanic metal star trying come back grave using skippy help plot corny cliche corniness example evil green fog taking girl's clothe
2310,positive,negative,0.4389,100,finally got around seeing hearing great thing actually exceeded expectation considering budget involved surprisingly competent well made film lack finance actually helped film several way especially given plot like blair witch project film better shot video instead film another bonus whereas low bud
2311,positive,negative,0.2931,90,anyone looking episode law order csi would look elsewhere basic element police forensics work totally ignored case murder took place police grab year old boy street take witness year old man say guy sure old man thought kid back police car guilty never mind looked nothing like real killer dressed co
2316,negative,positive,0.8549,119,istanbul another one expatriate film errol flynn making last decade life trying support family stay trouble irs remake fred macmurray ava gardner film singapore decade ago unlike studio product istanbul advantage great location cinematography right sight golden horn errol flynn aging exponentially c
2317,positive,negative,0.3275,321,movie ripoff james cain's novel postman always ring twice apparently director producer never bothered pay right story perhaps fact middle fighting italian wwii might account forgetting consider royalty despite movie really italian version hollywood movie way lot better way definitely not three centr
2320,positive,negative,0.4392,83,loved movie even liked actor davis' poor attempt accent stiff acting really make otherwise compelling movie hard watch seriously modern actor played role style davis would laughed screen really think 'phoned one in' myrna loy ingrid bergman playing part wife would enjoyed much guess 'get' bette davi
2324,positive,negative,0.3654,149,saw fine flick shortly leaving college sat happily watching alice repressed virgin sexual adventurer got wondering sexual encounter seemed familiar remembered intro psych lecture one lecture dealt psycho sexual stage developement basically shift time part body attendant stimulation get main attentio
2327,negative,positive,0.7888,85,even though animated film really bored everyone least grown grew area wild horse native american felt combination mixed many fantasy film created people never lived area filmed talk lived horse back treat animal like family member regardless background regardless background dealt good bad breaker wi
2329,negative,positive,0.787,65,know love tom jerry cartoon often violent interaction two character mouse manhattan see jerry leaving tom behind adventure new york far concerned one definitely suffers lack cat magical jerry's exploration 'big apple' might fan commented imdb wait self indulgent rubbish end could watch next cartoon 
2348,positive,negative,0.4314,95,tepid docu drama cover new ground reworks cliche sloppy fact example munich flat city hilly movie example end great war not surrender armistice yet announced surrender example european news vendor not not shout headline hawk paper yet strictly american custom employed film example nazi not adopt ger
2364,positive,negative,0.3166,141,trick treat quickie review zany romp film revolves around culture heavy metal horror movie two thing love dearly imagine movie appealed pretty easily plus apparent reason ozzy osbourne play preacher film unpopular high school youth like loser ended drenched world evil heavy metal favorite metaldude 
2380,negative,positive,0.7742,124,excited hyped watching film promos first came november looked awesome song quite disappointed went watch film weave couple together multi cast people huge amount star worked film think director nikhil advani not managed situation well not many people movie would made easier compared nikhil's directo
2381,positive,negative,0.4524,162,begin series hopefully keep every week end film came childhood case one managed catch clearly intended last word subject basically debased level hokum year however uncompromising striving serious minded approach sure measure protagonist never referred name known time world film maker rather lost tra
2401,positive,negative,0.3469,213,box one strangest movie ever seen explain experience let use word picture imagine binging pixie stick paint fume last month watching nothing twilight zone rerun resulting coma land hospital nurse seems get kick shooting adrenalin dream coma something like movie summary man show door couple give box 
2402,negative,positive,0.5621,34,interview david duchovny said able watch even first hour film neither scene asks owner house murder committed look around change name give could lifted performance episode file autopilot whole film brad pitt overacts appallingly
2417,positive,negative,0.4688,197,movie recently shown subtitled not dubbed australia's special broadcasting service thought read sometimes assumption revenge rat sequel fact rat getting revenge something done within movie human history prequel far know let's get pied piper hamelin way perhaps tale crossed mind watching film that's 
2421,negative,positive,0.5297,79,watched last night sundance altman must hit miss director note ever show despite star power utterly non compelling political insight proud liberal way disagree shallow clunky seem ripped headline usa today despite fact coming mouth someone esteemed mario cuomo drama not dramatic comedy not funny poi
2424,positive,negative,0.2979,484,original version preston foster good there's remake worthy one impossible find anywhere strongly suspect mickey rooney something never could mere performance ever masterfully brilliant script thought provoking well improvement upon original many year last several viewing film read article mickey roo
2428,negative,positive,0.7681,76,well say movie great see many asian face like film full stereotype typical racial character would role asian girl without confidence play someone else get ahead white guy infatuated asian culture chooses leave white world behind land yellow keeping real black cab driver plus coke shanghai tang dunki
2431,negative,positive,0.8263,187,film gap exists real world world dead there's lot mumbo jumbo internet install program computer see dead folk much like play videotape die ringu frankly seemed rather silly lost find interesting idea dead live within separate existence totally alone eternity sobering fascinating love japanese film s
2481,positive,negative,0.2407,55,movie part hilarious mostly average funny unit not part really bad either worst part voice sid slothy slur much minute sick hearing talk aside annoying sloth voice movie good numerous side joke catch make movie much better good movie kid enough keep adult content enough entertain kid one definitely 
2488,positive,negative,0.4781,93,many heist comedy might not care one actor made first saw year later almost similar happening even though obviously much less serious comedy one mafia figure take kidnapping rather turn different direction altogether course raquel welch play kind sharp character faye dunaway happening make sexist fi
2506,positive,negative,0.473,139,finishing zero woman series looking forward female prisoner scorpion series based upon comic tooru shinohara unfortunately not able see order third series start great scorpion meiko kaji escaping police detective kondo mikio narita manage get cuff proceeded cut arm get away bad enough later dog dig 
2508,positive,negative,0.4265,138,not fan snoop dogg actor made even anxious check flick remember interviewed jay leno said turned role big budget adam sandler comedy longest yard film obviously snoop serious mission prove acting chop not going overpraise snoop performance tenant certainly better rapper actor like mo def could've do
2509,positive,negative,0.3469,101,good film duration feel ending occluded film higher acclaim shot rather naive fashion clearly done create chilling feel film feeling isolation becomes apparent soon due filming technique gruesome character well acted presented especially 'nutcase' called joe however wholesome normal character little
2512,negative,positive,0.5146,76,working video store get see quite movie occasion try watch not big movie proud happened one initial idea telling story primarily black crewed ship wwii merit however less minute watching movie find primary point movie tell racial tension wwii underlying story ship crew exploit war primary point hamm
2519,positive,negative,0.0093,146,must say thought seen extremely jaded movie buff movie shock mean way past point take certain emotional place know could idea could ever find ick idea beastiality erotic never never never ever ever give director credit pulled first minute movie total bore start explicit footage two horse sex five mi
2520,positive,negative,0.1828,61,surprisingly good movie quite good joke thru whole movie negative thing scene extreme show stupid two main character get stupid blonde get plot barely dodge called corny booby always plus altho movie strange reason play card much even tho plot line introduces two black haired woman act evil counter 
2526,negative,positive,0.7335,114,following world war japanese attack force pearl harbor eastside kid leo gorcey muggs bobby jordan danny connors huntz hall glimpy david gorcey peewee ernest morrison scruno bobby stone skinny want serve country army navy reject young still wanting knock million jap boy attack asian clerk turn chines
2528,negative,positive,0.6912,108,extreme makeover home edition yet another 'feel goody' called 'heart warming' rating show abc time put together understand trouble family sorry think putting four wide screen plasma television three flat screen desktop computer inground pool taking half backyard closet full expensive designer clothi
2530,positive,negative,0.1647,193,quite mitchell leisen fan great anticipation rented movie print got extremely bad worn use scorched seemingly beyond repair movie dark dark certain scene cinematographed dark can't see single thing said believe share opinion first review movie start unusually not tote line rhythm typical hollywood m
2542,positive,negative,0.1087,119,think anybody whose dumb enough risk wax dummy football game want leave car get stripped deserves whatever happens guy wade went barbershop asked man haircut type there's really cute scene eyebrow facial hair waxed that's little high maintenance also fun not type fat guy big sunglass look like elton
2543,negative,positive,0.9071,135,play first shown bbc year ago would something quite different time therefor people would found quite scary may well impressed special effect looking play day age seem scary anymore even special effect leave lot desired would train really allowed pas red light dark tunnel think watch play observe fir
2546,negative,positive,0.9637,5,suspenseful subtle much much disturbing
2550,positive,negative,0.1517,74,kurosawa fresh color loss sight usual theme truth perception reality opts depressing take tokyo's slum kurosawa stretch style opinion antithesis say feel kurosawa wanted make ozu picture poorly paced poorly conceived movie rare dud auteur body excellent work ikiru mundane depressing still interestin
2552,negative,positive,0.7187,69,think not imagine people really work came studio watch guy work actually thought quite since saw work guy show say really deserve respect day long really easy work also actor eye may terribly bad really great people lot really act think material given really show think material good truly good think
2588,positive,negative,0.4715,132,never read good review vanity fair can't understand something rushed ten day come surprisingly well though admittedly becky sharp better movie miriam hopkins better becky there's nothing stop one getting solid time myrna loy might seem cute nice playing utter bitch time squint eye air temperature dr
2595,positive,negative,0.2219,15,thought film perfect description summary read movie justice plot not sound interesting rent not sorry
2605,negative,positive,0.6594,149,agree everyone's opinion show poorly produced well written acting not much lower production value however feel actor rely material provided make best keeping thought feel important point one actor risen persevered well beyond campy tasteless production become respectable quite talented performer ref
2608,positive,negative,0.0548,113,whereabouts capone shot jfk cynthia gibb land part gypsy remake great unsolved mystery century else say except thought unredeemingly awful mannequin mannerism poor reactionary acting blank stoic stare star scene speaks singing voice voice coach would rate mediocre stunningly gorgeous gypsy character
2612,positive,negative,0.0428,60,one worst columbo episode seen however second season typical columbo activity amusing irritating cigar ash causing trouble seen bit always identifies way murderer case cooking tho scene cooking show distracted main theme also not explained brother beginning show cutting part wire mixer reason never 
2621,negative,positive,0.9073,57,rented second segment traumatized little kid snuck downstairs really early one morning started watching hbo raft segment terrorized good time around still enjoyed raft although tell whether nostalgic reason actually good short two segment complete trash can't believe producer somewhere payed make ju
2623,negative,positive,0.5027,178,let start saying jawani diwani pathetic movie agree last person said missed joyride lol joke terrible performance average something went terribly wrong film emraan totally deserved something better celina jaitley expose hrishitta bhatt emraan hashmi mann emraan hashmi desperate guy want become famou
2632,negative,positive,0.6775,136,not really much abbott costello fan although enjoy who's first honest much movie would inspire watch work really bad mildly amusing scene actually convincing giant played buddy baer somehow given fame duo esteem generally held say expecting story go pair stumble babysitting job reading jack beanstal
2641,negative,positive,0.9768,29,well must say initially found short quite average watched nearly time since constantly shown ifc developed enjoyment simple plot element reality situation presented sofia coppola contributes solid addition category
2643,positive,negative,0.4003,78,okay yes tight budget movie continuity error like single scene obviously filmed sunshine shadow mixed together much love nick mancuso often little good burnt part minor supporting cast really bad plus least one actor used two different conspicuous role come richard grieco hysterical hair alone worth
2679,positive,negative,0.1828,333,horrid day movie grabbed put end forgotten horrid day ending way sequel budget obviously extremely low look reminds play basically working tent 'escape pod' gun uniform camping gear 'scanner' thing prop maybe even good thing forcing acting writing step take rightful place film center work instead af
2685,negative,positive,0.605,60,thanks bbc show used suffer inferiority complex hated leaving house talking new people overwhelming sense people hated however watching one episode non blonde fortune started change episode started applying new job wearing fashionable clothes actually felt talented series finished running sale depar
2688,negative,positive,0.7153,42,film stink limburger cheese find garage sale leave love sandra bullock yet hate movie although ashamed copy studio changed cover play fact sandra bullock play sandra bullock movie small part whole movie best young not learned talent yet well everyone start somewhere
2691,negative,positive,0.5747,136,honestly short film suck dummy used necro scene pretty well made still phony enough looking ruin viewing experience unearthed dvd crisp clear made mind help hinders film little grainy might added creepiness factor going idea film much hype surrounding subject matter honest necrophilia scene film lik
2695,positive,negative,0.1828,82,found film usual french slap america's face camera often focus fat people sloppy home tacky rural area narration seems sympathize admire small town folk introduced viewer cinematography exploit demeans undoubtedly thin people seen glencoe neat organized home malle chose show worst seen hope american
2728,negative,positive,0.5626,85,regret every single second time lost watching movie really unhappily always find hard switch movie started watching especially classic people use call classic think one movie every movie lover watched least one time watched get wrong like humphrey bogart wife lauren bacall couple actor movie big fra
2746,negative,positive,0.5737,114,jack black kyle gas play fantasy version comic showcase side band tenacious art rock outfit satirical barbed lyric runaway obsessed heavy metal beachfront living pot smoking slacker pretend rock god meet form band birthmark butt cheek form group's moniker opening funny prologue ape twisted sister vi
2763,positive,negative,0.4893,32,want see film gun blood sex shouting angry people hero bad guy girl even clumsy love word want see film every shot meaning love one must see film waiting film like life
2793,negative,positive,0.7386,249,key scene rodrigo garcia's nine life come sissy spacek hidden away hotel room carrying affair aiden quinn find nature documentary television point quinn note contrivance thing disparate footage edited one scene predator prey thrown together order capture moment force connection none actually exist c
2799,negative,positive,0.5198,72,surprise except quickly abc reacted dismal rating according published report variety show garnered worst rating history abc television network quote abc's music talent competition one opened tuesday night cancel rating article went say show received shockingly low rating share adult million viewer o
2838,negative,positive,0.7115,138,two year ago sundance loved josh kornbluth's directing debut haiku tunnel looking forward brother frequent collaborator jacob's best thief world drama seemingly good kid growing lower class area new york movie not without poignant moment time kornbluth working way hard state obvious life difficult p
2843,positive,negative,0.4818,117,includes spoiler horror film fan many decade think seen great one another pop surprise never seen film treat beaten path not path swamp ferry boat either horror film made dared try something different pretty girl gulp fearless change save men including man love monster twist girl complete opposite w
2847,positive,negative,0.1697,27,bad one know anything movie get old telling people rap's version spinal tap know sorry dont better comment damnit get movie watch make friend watch like gonna
2848,positive,negative,0.2705,74,can't believe seeing film think perhaps thought another movie slave mistreated avoided root reason yet see schindler's list want entertained peoples' pain not matter authentic informative supposed guess main thing noticed color purple not black people mistreated white black people perfectly capable 
